执行脚本失败	Failed to execute script
AES ECB 密文长度必须是 16 的倍数	AES ECB ciphertext length must be a multiple of 16
AES ECB 解密结果为空	AES ECB decryption result is empty
AES-128 CBC 参数无效	AES-128 CBC parameters invalid
AES-128 CBC 加密失败	AES-128 CBC encryption failed
AES-192 CBC 参数无效	AES-192 CBC parameters invalid
AES-192 CBC 加密失败	AES-192 CBC encryption failed
AES-256 CBC 参数无效	AES-256 CBC parameters invalid
AES-256 CBC 加密失败	AES-256 CBC encryption failed
AES-128 CBC 参数无效: {}	AES-128 CBC parameters invalid: {}
AES-128 CBC 解密失败: {}	AES-128 CBC decryption failed: {}
AES-192 CBC 参数无效: {}	AES-192 CBC parameters invalid: {}
AES-192 CBC 解密失败: {}	AES-192 CBC decryption failed: {}
AES-256 CBC 参数无效: {}	AES-256 CBC parameters invalid: {}
AES-256 CBC 解密失败: {}	AES-256 CBC decryption failed: {}
AES-128 GCM 加密失败	AES-128 GCM encryption failed
AES-256 GCM 加密失败	AES-256 GCM encryption failed
AES-128 GCM 解密失败	AES-128 GCM decryption failed
AES-256 GCM 解密失败	AES-256 GCM decryption failed
生成随机字节失败	Failed to generate random bytes
参数 {name} 必须是布尔值	Argument {name} must be a boolean
参数 {name} 超出 u32 范围	Argument {name} exceeds u32 range
参数 {name} 必须是整数	Argument {name} must be an integer
writeFile 参数无效	writeFile argument invalid
mkdir 参数无效	mkdir argument invalid
readdir 参数无效	readdir argument invalid
rm 参数无效	rm argument invalid
rename 参数无效	rename argument invalid
copyFile 参数无效	copyFile argument invalid
cp 参数无效	cp argument invalid
symlink 参数无效	symlink argument invalid
link 参数无效	link argument invalid
truncate 参数无效	truncate argument invalid
chmod 参数无效	chmod argument invalid
utimes 参数无效	utimes argument invalid
不支持的 fs 异步操作: {op}	Unsupported fs async operation: {op}
缺少 kind 字段	Missing kind field
bytes 数据格式错误	bytes data format error
bytes 数据必须是 0-255 的整数	bytes data must be integers in 0-255
bytes 数据必须在 0-255 范围内	bytes data must be in the 0-255 range
text 数据格式错误	text data format error
不支持的 kind: {kind}	Unsupported kind: {kind}
文件或目录不存在	File or directory does not exist
当前平台不支持符号链接	Symbolic links are not supported on this platform
当前平台不支持 chmod	chmod is not supported on this platform
源路径不存在	Source path does not exist
目标路径已存在	Destination path already exists
目标路径已存在，且未启用 force	Destination path already exists and force is not enabled
复制目录时必须启用 recursive	recursive must be enabled when copying a directory
无法创建唯一临时目录	Cannot create unique temporary directory
解析 host formdata plan JSON 失败	Failed to parse host formdata plan JSON
不支持的 formdata plan kind: {kind}	Unsupported formdata plan kind: {kind}
base64 解码 formdata 字段失败	Failed to base64 decode formdata field
formdata 文本字段缺少 value	formdata text field missing value
formdata 二进制字段缺少 dataB64	formdata binary field missing dataB64
设置 formdata part Content-Type 失败: {e}	Failed to set formdata part Content-Type: {e}
不支持的 formdata 字段类型: {}	Unsupported formdata field type: {}
解析 HTTP 代理地址失败: {proxy_url}	Failed to parse HTTP proxy address: {proxy_url}
创建 HTTP client 失败	Failed to create HTTP client
解析 HTTP method 失败	Failed to parse HTTP method
解析 HTTP headers JSON 失败	Failed to parse HTTP headers JSON
formdata 请求缺少 body payload	formdata request missing body payload
request body nativeBufferId 不存在: {native_buffer_id}	Request body nativeBufferId does not exist: {native_buffer_id}
发送 HTTP 请求失败	Failed to send HTTP request
解析 HTTP 响应头失败	Failed to parse HTTP response headers
读取 HTTP 响应体字节失败	Failed to read HTTP response body bytes
读取 HTTP 响应体失败	Failed to read HTTP response body
解析 URL 失败: {url}	Failed to parse URL: {url}
URL 缺少 host: {url}	URL missing host: {url}
解析域名失败: {host}	Failed to parse domain: {host}
创建 native buffer gc 线程失败	Failed to create native buffer gc thread
解析字节数组 JSON 失败	Failed to parse byte array JSON
xor 需要第二个输入参数	xor requires a second input argument
xor 两个输入长度必须一致	xor inputs must have the same length
gzip 解压失败: {e}	gzip decompression failed: {e}
不支持的 native op: {op}	Unsupported native op: {op}
解析 steps JSON 失败	Failed to parse steps JSON
steps 必须是数组	steps must be an array
steps 元素必须是对象	steps elements must be objects
steps 元素缺少 op 字段	steps elements missing op field
steps 不能为空	steps cannot be empty
size 必须是非负整数	size must be a non-negative integer
iterations 必须大于 0	iterations must be greater than 0
keyLen 必须是非负整数	keyLen must be a non-negative integer
native buffer id 不存在	native buffer id does not exist
base64 解码失败: {e}	base64 decode failed: {e}
创建日志直连 HTTP client 失败	Failed to create log direct HTTP client
日志直连 HTTP client 初始化后必须可读取	Log direct HTTP client must be readable after initialization
日志直连 HTTP client 并发初始化后必须可读取	Log direct HTTP client must be readable after concurrent initialization
创建 log-forward tokio runtime 失败	Failed to create log-forward tokio runtime
[qjs-log-http] 转发失败: {e}	[qjs-log-http] forwarding failed: {e}
[qjs-log-http] 日志直连 HTTP client 不可用，跳过日志转发	[qjs-log-http] log direct HTTP client unavailable, skipping log forwarding
创建 log worker 失败	Failed to create log worker
timer pending 队列已满	timer pending queue is full
fs 执行任务异常退出	FS task execution thread panicked
log worker 不可用: {e}	Log worker unavailable: {e}
创建备份 zip 文件失败: {}	Failed to create backup zip file: {}
向 zip 添加数据目录失败: {}	Failed to add data directory to zip: {}
向 zip 添加下载目录失败: {}	Failed to add download directory to zip: {}
完成 zip 写入失败	Failed to finish zip write
zip 备份任务执行失败	Zip backup task execution failed
备份包中缺少 config.json	Backup package missing config.json
读取 config.json 失败	Failed to read config.json
读取备份配置任务执行失败	Failed to execute backup config read task
创建解压目录失败: {}	Failed to create extraction directory: {}
读取 zip 第 {} 个条目失败	Failed to read zip entry {}
发现非法 zip 条目路径: {}	Found illegal zip entry path: {}
创建目录失败: {}	Failed to create directory: {}
创建父目录失败: {}	Failed to create parent directory: {}
创建文件失败: {}	Failed to create file: {}
读取 zip 条目失败: {}	Failed to read zip entry: {}
写入文件失败: {}	Failed to write file: {}
zip 解压任务执行失败	Zip extraction task execution failed
读取目录失败: {}	Failed to read directory: {}
读取目录项失败: {}	Failed to read directory entry: {}
向 zip 添加目录失败: {}	Failed to add directory to zip: {}
递归添加目录失败: {}	Failed to recursively add directory: {}
向 zip 添加文件失败: {}	Failed to add file to zip: {}
打开文件失败: {}	Failed to open file: {}
创建 zip 条目失败: {}	Failed to create zip entry: {}
读取文件失败: {}	Failed to read file: {}
写入 zip 条目失败: {}	Failed to write zip entry: {}
写入 WebP 文件失败: {}	Failed to write WebP file: {}
写入 PNG 文件失败: {}	Failed to write PNG file: {}
WebDAV 连接测试失败: {e}	WebDAV connection test failed: {e}
WebDAV 服务请求失败: {e}	WebDAV service request failed: {e}
文件删除失败: {e}	File deletion failed: {e}
文件删除失败，状态码: {code}	File deletion failed, status code: {code}
WebDAV 配置不完整	WebDAV configuration incomplete
构建 HTTP 客户端失败: {e}	Failed to build HTTP client: {e}
构建 WebDAV 客户端失败: {e}	Failed to build WebDAV client: {e}
目录创建失败，状态码: {code}	Directory creation failed, status code: {code}
目录创建失败: {e}	Directory creation failed: {e}
文件不存在，状态码: {code}	File does not exist, status code: {code}
文件下载失败，状态码: {code}	File download failed, status code: {code}
文件下载失败，重试次数用尽	File download failed, retry attempts exhausted
文件上传失败，状态码: {code}	File upload failed, status code: {code}
远端路径不能为空	Remote path cannot be empty
创建tar文件失败	Failed to create tar file
将comic_info_string.json添加到压缩包失败	Failed to add comic_info_string.json to archive
将processed_comic_info_string.json添加到压缩包失败	Failed to add processed_comic_info_string.json to archive
获取{}的元数据失败	Failed to get metadata for {}
将{}添加到压缩包失败	Failed to add {} to archive
完成压缩包失败	Failed to finish archive
创建ZIP文件失败	Failed to create ZIP file
创建comic_info.json条目失败	Failed to create comic_info.json entry
写入comic_info.json失败	Failed to write comic_info.json
创建processed_comic_info.json条目失败	Failed to create processed_comic_info.json entry
写入processed_comic_info.json失败	Failed to write processed_comic_info.json
创建ZIP条目{}失败	Failed to create ZIP entry {}
读取文件{}失败	Failed to read file {}
写入ZIP条目{}失败	Failed to write ZIP entry {}
完成ZIP文件失败	Failed to finish ZIP file
ZIP任务执行失败	ZIP task execution failed
ZIP压缩失败	ZIP compression failed
写入压缩流数据失败	Failed to write compressed stream data
刷写压缩流失败	Failed to flush compressed stream
压缩线程池调度失败	Compression thread pool scheduling failed
Brotli 解压失败：数据可能损坏或非标准格式	Brotli decompression failed: data may be corrupted or non-standard format
解压线程池调度失败	Decompression thread pool scheduling failed
创建解压目标目录失败: {}	Failed to create decompression target directory: {}
7z 解压失败: {}	7z decompression failed: {}
7z 解压任务执行失败	7z decompression task execution failed
opencc config 必须是 OpenCC 配置文件名，例如 t2s.json	opencc config must be an OpenCC config file name, e.g. t2s.json
不支持的 OpenCC 转换配置: {config_name} ({err})	Unsupported OpenCC conversion config: {config_name} ({err})
初始化 OpenCC 失败: {err}	Failed to initialize OpenCC: {err}
opencc 参数必须是 JSON 对象	opencc argument must be a JSON object
opencc 参数缺少 text 字段	opencc argument missing text field
opencc 参数缺少 config 字段，例如 t2s.json	opencc argument missing config field, e.g. t2s.json
cache.get 参数无效: 缺少 key	cache.get argument invalid: missing key
cache.set 参数无效: 缺少 key	cache.set argument invalid: missing key
cache.set 跳过超限写入: runtime={}, key={}, max_bytes={}	cache.set skipped oversized write: runtime={}, key={}, max_bytes={}
cache.set_if_absent 参数无效: 缺少 key	cache.set_if_absent argument invalid: missing key
cache.set_if_absent 跳过超限写入: runtime={}, key={}, max_bytes={}	cache.set_if_absent skipped oversized write: runtime={}, key={}, max_bytes={}
cache.compare_and_set 参数无效: 缺少 key	cache.compare_and_set argument invalid: missing key
cache.compare_and_set 跳过超限写入: runtime={}, key={}, max_bytes={}	cache.compare_and_set skipped oversized write: runtime={}, key={}, max_bytes={}
提交 QJS 初始化任务失败: {err}	Failed to submit QJS initialization task: {err}
等待 QJS 初始化任务失败: {err}	Failed to wait for QJS initialization task: {err}
runtime '{runtime_name}' 已存在且配置不匹配 (existing: fs={}; requested: fs={})	runtime '{runtime_name}' already exists with mismatched config (existing: fs={}; requested: fs={})
新建了一个 qjs 实例: {runtime_name} (fs={})，thread id : {:?}	Created a new qjs instance: {runtime_name} (fs={}), thread id: {:?}
复用 qjs 实例并替换 bundle: {runtime_name} -> {bundle_name}	Reused qjs instance and replaced bundle: {runtime_name} -> {bundle_name}
新建 qjs 实例并加载 bundle: {runtime_name} -> {bundle_name} (fs={})	Created new qjs instance and loaded bundle: {runtime_name} -> {bundle_name} (fs={})
调用参数不是合法 JSON	Call arguments are not valid JSON
已取消	Canceled
被取消	Cancelled
任务取消	Task cancelled
用户取消	User cancelled
解析 JS 返回 JSON 失败	Failed to parse JS return JSON
QJS 任务被取消(解析返回体): {error_message}	QJS task cancelled (parsing return body): {error_message}
加载 QJS bundle 失败: {err}	Failed to load QJS bundle: {err}
卸载旧 bundle 失败({existing}): {err}	Failed to unload old bundle ({existing}): {err}
QJS 任务被取消(等待结果): {message}	QJS task cancelled (waiting for result): {message}
fn_path 不能为空	fn_path cannot be empty
bundle_url 不能为空	bundle_url cannot be empty
创建 bundle 下载客户端失败	Failed to create bundle download client
下载 bundle 失败: {bundle_url}	Failed to download bundle: {bundle_url}
下载 bundle 返回非成功状态: {bundle_url}	Bundle download returned non-success status: {bundle_url}
读取 Brotli bundle 响应失败: {bundle_url}	Failed to read Brotli bundle response: {bundle_url}
解压 Brotli bundle 失败: {bundle_url}	Failed to decompress Brotli bundle: {bundle_url}
bundle 不是合法 UTF-8: {bundle_url}	Bundle is not valid UTF-8: {bundle_url}
读取 bundle 文本失败: {bundle_url}	Failed to read bundle text: {bundle_url}
任务不存在: {task_id}	Task does not exist: {task_id}
清空当前 bundle 失败: {err}	Failed to clear current bundle: {err}
序列化当前 bundle 信息失败	Failed to serialize current bundle info
销毁 qjs 实例并取消任务: runtime={}, task_count={}	Destroyed qjs instance and cancelled tasks: runtime={}, task_count={}
序列化 qjs 调试快照失败	Failed to serialize qjs debug snapshot
取消任务失败: runtime 不可用	Failed to cancel task: runtime unavailable
设置 http 代理失败: {err}	Failed to set HTTP proxy: {err}
设置 socks5 代理失败: {err}	Failed to set socks5 proxy: {err}
设置 TLS 校验开关失败: {err}	Failed to set TLS verification switch: {err}
max_args_json_bytes 超出 usize 范围	max_args_json_bytes exceeds usize range
max_return_binary_bytes 超出 usize 范围	max_return_binary_bytes exceeds usize range
配置 bridge runtime 失败: {err}	Failed to configure bridge runtime: {err}
序列化 bridge 参数失败	Failed to serialize bridge arguments
{function_name_for_timeout} Dart 回调超时 (timeout_ms={})	{function_name_for_timeout} Dart callback timed out (timeout_ms={})
opencc 需要一个 JSON 参数	opencc requires a JSON argument
cache.delete 参数无效: 缺少 key	cache.delete argument invalid: missing key
任务已取消	Task cancelled
